# gap_worklist.txt - trace-driven-coverage gap-set (GENERATED)
#
# Regenerate: scripts/pcsx-redux/build_gap_worklist.py
# Definition: dumped AND NOT documented AND NOT ignored (port catalog).
# Each row = a not-yet-understood function entry to arm an exec BP on.
#
# A hit in a segment's trace.csv = this function ran in the opening =
# a documentation target. SCUS addresses (0x800xxxxx) are unambiguous;
# overlay addresses (0x801c..0x8020) are VA-aliased - attribute them with
# the trace CSV's first_mode column + the dump_stem here.
#
# Counts: 762 total (161 scus, 601 overlay).
#
# Columns: <0x-addr>  <dump_stem>   # bucket=<b> refs=<n>
0x801c6268  overlay_0899_xxx_dat_801c6268   # bucket=overlay refs=2
0x801c6534  overlay_0896_801c6534   # bucket=overlay refs=1
0x801c6a34  overlay_0896_801c6a34   # bucket=overlay refs=1
0x801c6c78  overlay_0896_801c6c78   # bucket=overlay refs=1
0x801c6cf8  overlay_0977_other_game_801c6cf8   # bucket=overlay refs=2
0x801c6fec  overlay_0971_801c6fec   # bucket=overlay refs=1
0x801c7760  overlay_0896_801c7760   # bucket=overlay refs=1
0x801c7930  overlay_0971_801c7930   # bucket=overlay refs=1
0x801c7b40  overlay_0978_801c7b40   # bucket=overlay refs=1
0x801c7f38  overlay_0896_801c7f38   # bucket=overlay refs=1
0x801c802c  overlay_0896_801c802c   # bucket=overlay refs=2
0x801c8178  overlay_0896_801c8178   # bucket=overlay refs=0
0x801c81a8  overlay_0896_801c81a8   # bucket=overlay refs=2
0x801c82dc  overlay_0978_801c82dc   # bucket=overlay refs=1
0x801c82e0  overlay_0896_801c82e0   # bucket=overlay refs=0
0x801c8400  overlay_0896_801c8400   # bucket=overlay refs=1
0x801c8b04  overlay_0978_801c8b04   # bucket=overlay refs=1
0x801c8d00  overlay_0897_xxx_dat_801c8d00   # bucket=overlay refs=1
0x801c8d0c  overlay_0978_801c8d0c   # bucket=overlay refs=1
0x801c8f00  overlay_magic_level_up_data_0x801c8f00   # bucket=overlay refs=0
0x801c8fdc  overlay_0897_xxx_dat_801c8fdc   # bucket=overlay refs=1
0x801c97a4  overlay_0971_801c97a4   # bucket=overlay refs=1
0x801c9c04  overlay_0896_801c9c04   # bucket=overlay refs=1
0x801ca850  overlay_0896_801ca850   # bucket=overlay refs=1
0x801ca998  overlay_0896_801ca998   # bucket=overlay refs=3
0x801cac44  overlay_0896_801cac44   # bucket=overlay refs=0
0x801cae64  overlay_0896_801cae64   # bucket=overlay refs=0
0x801cb244  overlay_0896_801cb244   # bucket=overlay refs=1
0x801cb4a8  overlay_0896_801cb4a8   # bucket=overlay refs=1
0x801cc6ac  overlay_0896_801cc6ac   # bucket=overlay refs=2
0x801cc810  overlay_0896_801cc810   # bucket=overlay refs=0
0x801ccbb0  overlay_0896_801ccbb0   # bucket=overlay refs=1
0x801ccdd4  overlay_0896_801ccdd4   # bucket=overlay refs=2
0x801cce38  overlay_0896_801cce38   # bucket=overlay refs=0
0x801ccfc8  overlay_0896_801ccfc8   # bucket=overlay refs=2
0x801cd510  overlay_0896_801cd510   # bucket=overlay refs=0
0x801cd520  overlay_0896_801cd520   # bucket=overlay refs=2
0x801cd628  overlay_0896_801cd628   # bucket=overlay refs=0
0x801cd6a4  overlay_0896_801cd6a4   # bucket=overlay refs=3
